web,,updated_node_name,unchanged_node_name,old_node_name,species,genus,family,order,class,phylum,kingdom,tiering,feeding,motility,zooplankton,detritus,size_worms_min,size_worms_max,size_heim_max,size_manual_max,og_body_weight,size_max,size_stat,present_in_og_el
sanak,,,Mysida,,NA,NA,NA,Mysida,Malacostraca,Arthropoda,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
burgess,,,Branchiocaris pretiosa,,pretiosa,Branchiocaris,NA,NA,Malacostraca,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,155,s_medi,NA
chengjiang,,Branchiocaris yunnanensis,,Brachiocaris? yunnanensis,yunnanensis,Branchiocaris,NA,NA,Malacostraca,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,155,s_medi,NA
kongsfjorden,,,Tanaidacea,,NA,NA,NA,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,1,NA,NA,NA,NA,NULL,NA,NA,1
stmarks,,,Tanaidacea,,NA,NA,NA,Tanaidacea,Malacostraca,Arthropoda,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Weddell,,,Nototanais antarcticus,,Nototanais antarcticus,Nototanais,Nototanaidae,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_susp,m_fast,0,1,NA,NA,NA,3.75,0.1,NA,s_medi,NA
Weddell,,,Nototanais dimorphus,,Nototanais dimorphus,Nototanais,Nototanaidae,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_susp,m_fast,0,1,NA,NA,NA,3.75,0.1,NA,s_medi,NA
Weddell,,,Peraeospinosus pushkini,,Peraeospinosus pushkini,Peraeospinosus,Nototanaidae,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_susp,m_fast,0,1,NA,NA,NA,3.75,0.1,NA,s_medi,NA
loughhyne,,,Gammarus_91387,,Gammarus91387,Tanais,Tanaidae,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,1,NA,NA,NA,7.28,0.0074,NA,NA,1
ythanjacob,,,Gammarus spp.,,Gammarus spp.,Tanais,Tanaidae,Tanaidacea,Malacostraca,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,1,NA,NA,NA,7.28,0.0295,NA,NA,1
burgess,,,Tuzoia burgessensis,,burgessensis,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,1
burgess,,,Tuzoia canadensis,,canadensis,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,1
burgess,,Tuzoia parva,,Tuzoia? parva,parva,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,NA
burgess,,,Tuzoia praemorsa,,praemorsa,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,1
burgess,,,Tuzoia retifera,,retifera,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,1
chengjiang,,Tuzoia sinensis,,Tuzoia sinensis,sinensis,Tuzoia,NA,Phyllocarida,Malacostraca?/Thylacocephala?,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,0,NA,NA,NA,NA,NA,180,s_medi,NA
burgess,,,Skania fragilis,,fragilis,Skania,NA,Acercostraca,Marrellomorpha,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,0,NA,NA,NA,NA,NA,17,s_medi,NA
loughhyne,,,Acartia_86085,,Acartia86085,Acartia,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,0,1,NA,NA,NA,1.7,0.000172,NA,NA,1
stmarks,,,Acartia tonsa,,Acartia tonsa,Acartia,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,0,1,NA,NA,NA,1.7,0.000000746,NA,NA,1
kongsfjorden,,,Bradyidius similis,,Bradyidius similis,Bradyidius,Aetideidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,NA,NA,NA,9.2,NULL,NA,NA,1
kongsfjorden,,,Gaidius tenuispinus,,Gaidius tenuispinus,Gaetanus,Aetideidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,NA,NA,NA,9.2,0.000049,NA,NA,1
Weddell,,,Calanoides acutus,,Calanoides acutus,Calanoides,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.0055,NA,s_medi,NA
kongsfjorden,,,Calanus finnmarchicus,,Calanus finnmarchicus,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Calanus glacialis,,Calanus glacialis,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Calanus hyperboreus,,Calanus hyperboreus,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.01,NA,NA,1
loughhyne,,,Calanus_85263,,Calanus85263,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.00021,NA,NA,1
loughhyne,,,Calanus_85276,,Calanus85276,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.000138,NA,NA,1
Weddell,,,Calanus propinquus,,Calanus propinquus,Calanus,Calanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1,10.4,NA,NA,0.0057,NA,s_medi,NA
loughhyne,,,Centropages_85767,,Centropages85767,Centropages,Centropagidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,0.6,3,NA,NA,0.000108,NA,NA,1
kongsfjorden,,,Microcalanus pusillus,,Microcalanus pusillus,Microcalanus,Clausocalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,0.47,2.8,NA,NA,0.0000696,NA,NA,1
loughhyne,,,Microcalanus_85366,,Microcalanus85366,Microcalanus,Clausocalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,0.47,2.8,NA,NA,0.0000321,NA,NA,1
kongsfjorden,,,Pseudocalanus,,Pseudocalanus,Pseudocalanus,Clausocalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,0.47,2.8,NA,NA,0.09,NA,NA,1
loughhyne,,,Pseudocalanus_85370,,Pseudocalanus85370,Pseudocalanus,Clausocalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,0.47,2.8,NA,NA,0.0000813,NA,NA,1
Weddell,,Paraeuchaeta antarctica,,Euchaeta antarctica,Paraeuchaeta antarctica,Paraeuchaeta,Euchaetidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,1,2.1,11.8,NA,NA,0.0081,NA,s_medi,NA
kongsfjorden,,,Metridia longa,,Metridia longa,Metridia,Metridinidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1.32,12,NA,NA,0,NA,NA,1
kongsfjorden,,,Metridia lucens,,Metridia lucens,Metridia,Metridinidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1.32,12,NA,NA,0,NA,NA,1
loughhyne,,,Metridia_85741,,Metridia85741,Metridia,Metridinidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1.32,12,NA,NA,0.000944,NA,NA,1
Weddell,,,Metridia gerlachei,,Metridia gerlachei,Metridia,Metridinidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,1.32,12,NA,NA,0.0023,NA,s_medi,NA
loughhyne,,,Paracalanus_85323,,Paracalanus85323,Paracalanus,Paracalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,0.34,1.4,NA,NA,0.00019,NA,NA,1
kongsfjorden,,,Xanthocalanus,,Xanthocalanus,Xanthocalanus,Phaennidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_surf,m_slow,1,0,1.2,10.5,NA,NA,0.0000251,NA,NA,1
Weddell,,,Rhincalanus gigas,,Rhincalanus gigas,Rhincalanus,Rhincalanidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_slow,1,0,2.4,10,NA,NA,0.02,NA,s_medi,NA
kongsfjorden,,,Neoscolecithrix farrani,,Neoscolecithrix farrani,Neoscolecithrix,Scolecitrichidae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_surf,m_slow,0,1,0.72,8.66,NA,NA,0.0000813,NA,NA,1
loughhyne,,,Eutemora_error,,Eutemoraerror,Eurytemora,Temoridae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_surf,m_slow,1,0,0.75,2.3,NA,NA,0.0000696,NA,NA,1
loughhyne,,,Temora_85877,,Temora85877,Temora,Temoridae,Calanoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_surf,m_slow,1,0,0.75,2.3,NA,NA,0.000094,NA,NA,1
kongsfjorden,,,Oithona similis,,Oithona similis,Oithona,Oithonidae,Cyclopoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_pred,m_slow,1,1,0.36,1.9,NA,NA,NULL,NA,NA,1
loughhyne,,,Oithona_88803,,Oithona88803,Oithona,Oithonidae,Cyclopoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_pred,m_slow,1,1,0.36,1.9,NA,NA,0.00037,NA,NA,1
loughhyne,,,Oithona_88813,,Oithona88813,Oithona,Oithonidae,Cyclopoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_pred,m_slow,1,1,0.36,1.9,NA,NA,0.0123,NA,NA,1
loughhyne,,,Tigriopus_86374,,Tigriopus86374,Tigriopus,Harpacticidae,Harpacticoida,Maxillopoda,Arthropoda,Animalia,t_shin,f_surf,m_slow,0,1,1.2,1.2,NA,NA,0.0000588,NA,NA,1
loughhyne,,,Tigriopus_86378,,Tigriopus86378,Tigriopus,Harpacticidae,Harpacticoida,Maxillopoda,Arthropoda,Animalia,t_shin,f_surf,m_slow,0,1,1.2,1.2,NA,NA,0.000049,NA,NA,1
loughhyne,,,Zaus_206043,,Zaus206043,Zaus,Harpacticidae,Harpacticoida,Maxillopoda,Arthropoda,Animalia,t_shin,f_surf,m_slow,0,1,1.2,1.2,NA,NA,0.0000813,NA,NA,1
loughhyne,,,Diosaccuss_error,,Diosaccusserror,Diosaccus,Miraciidae,Harpacticoida,Maxillopoda,Arthropoda,Animalia,t_shin,f_surf,m_slow,0,1,0.74,2.2,NA,NA,0.0000251,NA,NA,1
loughhyne,,,Thalestris_88435,,Thalestris88435,Thalestris,Thalestridae,Harpacticoida,Maxillopoda,Arthropoda,Animalia,t_shin,f_surf,m_slow,0,1,1.7,2.3,NA,NA,0.00021,NA,NA,1
chengjiang,,,Ercaia minuscula,,minuscula,Ercaia,NA,NA,Maxillopoda,Arthropoda,Animalia,t_pela,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,3,s_smal,NA
kongsfjorden,,,Copepoda nauplii,,NA,NA,NA,NA,Maxillopoda,Arthropoda,Animalia,t_pela,f_susp,m_faun,1,1,NA,NA,NA,NA,0.00000714,NA,NA,1
kongsfjorden,,,Onacea borealis,,Onacea borealis,Onacea,Oncaeidae,Cyclopoida,Maxillopoda,Arthropoda,Animalia,t_pela,f_pred,m_slow,1,0,0.17,1.55,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Semibalanus balanoides,,Semibalanus balanoides,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,5,75,NA,NA,0.03,NA,NA,1
loughhyne,,,Semibalanus_89687,,Semibalanus89687,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,5,75,NA,NA,NULL,NA,NA,1
ythanjacob,,,Semibalanus balanoides,,Semibalanus balanoides,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,5,75,NA,NA,0.00000392,NA,NA,1
kongsfjorden,,,Balanus balanus,,Balanus balanus,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,5,75,NA,NA,0.01,NA,NA,1
loughhyne,,,Elminius_206264,,Elminius206264,Elminius,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,5,75,NA,NA,0.0118,NA,NA,1
loughhyne,,,Chthamalus_89595,,Chthamalus89595,Chthamalus,Chthamalidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,NA,NA,NA,14,0.0102,NA,NA,1
loughhyne,,,Verruca_89587,,Verruca89587,Verruca,Verrucidae,Sessilia,Maxillopoda,Arthropoda,Animalia,t_surf,f_susp,m_nmat,0,1,NA,NA,NA,12.4,0.00316,NA,NA,1
chengjiang,,,Fortiforceps foliosa,,foliosa,Fortiforceps,Fortiforcipidae,Fortiforcipida,Megacheira,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,1
burgess,,,Leanchoilia superlata,,superlata,Leanchoilia,Leanchoiliidae,Leanchoiliida,Megacheira,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,0,NA,NA,NA,NA,NA,120,s_medi,1
chengjiang,,Leanchoilia illecebrosa,,Leanchoilia illecebrosa*,illecebrosa,Leanchoilia,Leanchoiliidae,Leanchoiliida,Megacheira,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,0,NA,NA,NA,NA,NA,120,s_medi,NA
burgess,,,Alalcomenaeus cambricus,,cambricus,Alalcomenaeus,Alalcomeneidae,NA,Megacheira,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,60,s_medi,NA
burgess,,,Actaeus armatus,,armatus,Actaeus,NA,NA,Megacheira,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,66,s_medi,NA
chengjiang,,,Tanglangia longicaudata,,longicaudata,Tanglangia,NA,NA,Megacheira,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
chengjiang,,,Forfexicaris valida,,valida,Forfexicaris,Forfexicarididae,Pectocaridida,Megacheira,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,1,NA,NA,NA,NA,NA,15,s_medi,NA
chengjiang,,,Occacaris oviformis,,oviformis,Occacaris,Occacarididae,Pectocaridida,Megacheira,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,15,s_medi,NA
burgess,,,Yohoia tenuis,,tenuis,Yohoia,Yohoiidae,Yohoiida,Megacheira,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,23,s_medi,1
burgess,,,Sidneyia inexpectans,,inexpectans,Sidneyia,NA,Limulavida,Merostomoidea,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,160,s_medi,1
chengjiang,,,Sidneyia sinica,,sinica,Sidneyia,NA,Limulavida,Merostomoidea,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,160,s_medi,1
chengjiang,,,Kunyangella cheni,,cheni,Kunyangella,Comptalutidae,Bradoriida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,2,s_smal,NA
chengjiang,,,Kunmingella douvillei,,douvillei,Kunmingella,Kunmingellidae,Bradoriida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,6,s_smal,1
chengjiang,,,Combinivalvula chengjiangensis,,chengjiangensis,Combinivalvula,NA,Bradoriida,NA,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,1,NA,NA,NA,NA,NA,15,s_medi,NA
chengjiang,,Jiucunella paulula,,Jiucunia petalina,paulula,Jiucunella,NA,Bradoriida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,2,s_smal,NA
chengjiang,,,Liangshanella liangshanensis,,liangshanensis,Liangshanella,Svealutidae,Bradoriida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,10,s_medi,NA
burgess,,,Perspicaris dictynna,,dictynna,Perspicaris,NA,Canadaspidida?,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,29,s_medi,1
burgess,,,Perspicaris recondita,,recondita,Perspicaris,NA,Canadaspidida?,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,29,s_medi,1
chengjiang,,,Chengjiangocaris longiformis,,longiformis,Chengjiangocaris,Chengjiangocarididae,Fuxianhuiida,NA,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,0,NA,NA,NA,NA,NA,130,s_medi,1
burgess,,,Isoxys acutangulus,,acutangulus,Isoxys,Isoxidae,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
burgess,,,Isoxys longissimus,,longissimus,Isoxys,Isoxidae,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
chengjiang,,,Isoxys auritus,,auritus,Isoxys,Isoxidae,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
chengjiang,,,Isoxys curviostratus,,curviostratus,Isoxys,Isoxidae,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
chengjiang,,,Isoxys paradoxus,,paradoxus,Isoxys,Isoxidae,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,NA
burgess,,Aluta sp.,,Aluta sp. (?),NA,Aluta,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,unknown,NA,1
burgess,,Aluta sp.,,Aluta? sp.,NA,Aluta,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,unknown,NA,1
burgess,,Aluta sp.,,Aluta? Sp.,NA,Aluta,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,unknown,NA,1
burgess,,,Burgessia bella,,bella,Burgessia,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,17,s_medi,1
chengjiang,,Clypecaris pteroidea,,Clypecaris pteroidea*,pteroidea,Clypecaris,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,10,s_medi,NA
chengjiang,,,Clypecaris pteroidea,,pteroidea,Clypecaris,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,10,s_medi,NA
burgess,,,Emeraldella bocki,,bocki,Emeraldella,NA,NA,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,202,s_medi,1
burgess,,,Habelia brevicauda,,brevicauda,Habelia,NA,NA,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,1,NA,NA,NA,NA,NA,54,s_medi,1
burgess,,,Habelia optata,,optata,Habelia,NA,NA,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,1,NA,NA,NA,NA,NA,41,s_medi,1
chengjiang,,,Haikoucaris ercaiensis,,ercaiensis,Haikoucaris,NA,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,1
chengjiang,,Jianfengia multisegmentalis,,Jinagfengia multisegmentalis,multisegmentalis,Jianfengia,NA,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,20,s_medi,NA
burgess,,Marrella splendens,,Marella splendens,splendens,Marrella,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,1,1,NA,NA,NA,NA,NA,25,s_medi,NA
burgess,,,Marrella splendens,,splendens,Marrella,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,1,1,NA,NA,NA,NA,NA,25,s_medi,NA
burgess,,,Molaria spinifera,,spinifera,Molaria,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,36,s_medi,1
burgess,,,Mollisonia symmetrica,,symmetrica,Mollisonia,NA,NA,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,79,s_medi,NA
burgess,,,Odaraia alata,,alata,Odaraia,NA,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,150,s_medi,1
chengjiang,,Odaraia eurypetala,,Odaraia? eurypetala*,eurypetala,Odaraia,NA,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,150,s_medi,NA
chengjiang,,Pisinnocaris subconigera,,Pisinnocaris subconigera*,subconigera,Pisinnocaris,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,11,s_medi,NA
chengjiang,,,Primicaris larvaformis,,larvaformis,Primicaris,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,6,s_smal,NA
chengjiang,,Pseudoiulia cambriensis,,Pseudoiulia cambriensis,cambriensis,Pseudoiulia,NA,NA,NA,Arthropoda,Animalia,t_surf,f_pred,m_slow,0,0,NA,NA,NA,NA,NA,37,s_medi,NA
burgess,,,Sanctacaris uncata,,uncata,Sanctacaris,NA,NA,NA,Arthropoda,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,93,s_medi,1
burgess,,,Sarotrocercus oblita,,oblita,Sarotrocercus,NA,NA,NA,Arthropoda,Animalia,t_pela,f_susp,m_fast,0,1,NA,NA,NA,NA,NA,16,s_medi,NA
chengjiang,,,Tsunyidiscus diandongensis,,diandongensis,Tsunyidiscus,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,7,s_smal,NA
burgess,,,Worthenella cambria,,cambria,Worthenella,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,60,s_medi,NA
chengjiang,,,Wutingella binodosa,,binodosa,Wutingella,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,1,s_smal,NA
chengjiang,,,Xandarella spectaculum,,spectaculum,Xandarella,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,12,s_medi,NA
chengjiang,,Xandarella spectaculum,,Xandrella speculum,spectaculum,Xandarella,NA,NA,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,12,s_medi,NA
chengjiang,,Yunnanocaris megista,,Yunaannocaris megista,megista,Yunnanocaris,NA,NA,NA,Arthropoda,Animalia,NA,NA,NA,0,0,NA,NA,NA,NA,NA,71,s_medi,1
burgess,,,Naraoia compacta,,compacta,Naraoia,Naraoiidae,Nektaspida,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,1
chengjiang,,,Naraoia longicaudata,,longicaudata,Naraoia,Naraoiidae,Nektaspida,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,1
chengjiang,,,Naraoia sponosa,,sponosa,Naraoia,Naraoiidae,Nektaspida,NA,Arthropoda,Animalia,t_surf,f_pred,m_fast,0,0,NA,NA,NA,NA,NA,40,s_medi,1
chengjiang,,,Pygmaclypeatus daziensis,,daziensis,Pygmaclypeatus,NA,Retifaciida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,15,s_medi,NA
chengjiang,,,Parapaleomerus sinensis,,sinensis,Parapaleomerus,Strabopidae,Strabopida,NA,Arthropoda,Animalia,t_surf,f_surf,m_slow,0,0,NA,NA,NA,NA,NA,30,s_medi,NA
burgess,,,Plenocaris plena,,plena,Plenocaris,Waptiidae,Waptiida,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,17,s_medi,NA
burgess,,,Waptia fieldensis,,fieldensis,Waptia,Waptiidae,Waptiida,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,80,s_medi,1
chengjiang,,,Waptia ovata,,ovata,Waptia,Waptiidae,Waptiida,NA,Arthropoda,Animalia,t_pela,f_surf,m_fast,0,1,NA,NA,NA,NA,NA,80,s_medi,1
Weddell,,,Alacia belgicae,,Alacia belgicae,Alacia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
Weddell,,,Alacia hettacra,,Alacia hettacra,Alacia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
Weddell,,,Boroecia antipoda,,Boroecia antipoda,Boroecia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
Weddell,,,Conchoecia antipoda,,Conchoecia antipoda,Conchoecia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
Weddell,,,Conchoecia hettacra,,Conchoecia hettacra,Conchoecia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
Weddell,,,Metaconchoecia isocheira,,Metaconchoecia isocheira,Metaconchoecia,Halocyprididae,Halocyprida,Ostracoda,Arthropoda,Animalia,t_surf,f_susp,m_slow,0,1,0.00172,32,NA,NA,0.00044,NA,s_medi,NA
sanak,,,Ostracoda,,NA,NA,NA,NA,Ostracoda,Arthropoda,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
